setting,metric,mean,ci95_low,ci95_high,n
Base_clean3186,syndrome_exact,0.34243565599497805,0.3258003766478343,0.35969868173258,3186
Base_clean3186,diagnosis_exact,0.0,0.0,0.0,3186
Base_clean3186,treatment_exact,0.0,0.0,0.0,3186
Base_clean3186,recommendation_hit,0.08317639673571876,0.0743879472693032,0.09259259259259259,3186
Base_clean3186,full_output_exact,0.0,0.0,0.0,3186
LoRA_clean3186,syndrome_exact,0.7234777150031387,0.709353421217828,0.7385436283741369,3186
LoRA_clean3186,diagnosis_exact,0.6431261770244822,0.6261770244821092,0.6594475831763967,3186
LoRA_clean3186,treatment_exact,0.7190834902699309,0.7027620841180163,0.7350910232266165,3186
LoRA_clean3186,recommendation_hit,0.7868801004394225,0.7718141870684243,0.800376647834275,3186
LoRA_clean3186,full_output_exact,0.5040803515379787,0.48713119899560575,0.5207156308851224,3186
LoRA_original4804,syndrome_exact,0.5174854288093256,0.5035387177352206,0.5330974188176519,4804
LoRA_original4804,diagnosis_exact,0.6534138218151541,0.6398834304746045,0.6667360532889259,4804
LoRA_original4804,treatment_exact,0.5183180682764363,0.5037468776019983,0.5326810990840966,4804
LoRA_original4804,recommendation_hit,0.5776436303080766,0.563488759367194,0.5924229808492922,4804
LoRA_original4804,full_output_exact,0.4419233971690258,0.4279766860949209,0.45566194837635304,4804
