model_setting,n,syndrome_exact,syndrome_contains,diagnosis_exact,diagnosis_contains,treatment_exact,treatment_contains,recommendation_hit,recommendation_precision,recommendation_f1,full_output_exact
Base_Qwen3_clean3186,3186,0.34243565599497805,0.36095417451349654,0.0,0.6616446955430006,0.0,0.002197112366603892,0.08317639673571876,0.0022986531524795996,0.003969469267743296,0.0
LoRA_r16_clean3186,3186,0.7234777150031387,0.7234777150031387,0.6431261770244822,0.6698053986189579,0.7190834902699309,0.7190834902699309,0.7868801004394225,0.7459091860221804,0.7458968213205501,0.5040803515379787
LoRA_r16_original4804,4804,0.5174854288093256,0.5174854288093256,0.6534138218151541,0.6661115736885929,0.5183180682764363,0.5183180682764363,0.5776436303080766,0.5387524285317792,0.5387524285317792,0.4419233971690258
Improvement_LoRA_clean_minus_Base_clean,3186,0.3810420590081607,0.3625235404896422,0.6431261770244822,0.008160703075957287,0.7190834902699309,0.716886377903327,0.7037037037037037,0.7436105328697008,0.7419273520528068,0.5040803515379787
